Country,Year,Area Code (M49)_x,Element Code_x,Year Code_x,Value_x,Area Code (M49)_y,Element Code_y,Item Code,Year Code_y,Value_y,Magnitude,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Current_account_balance_pct_of_GDP,External_debt_stocks_pct_of_GNI,Foreign_direct_investment_net_inflows_pct_of_GDP
Afghanistan,2000.0,4.0,5410.038461538462,2000.0,530370.4446153847,4.0,529.6,3010.0,2000.0,12070882.2,0.0,5.6,0.0,2000.4,5.2,4.8,118.8,0.0,516445.6,516445.6,10.0,18.2,54.89515197000001,-2.35799044700136,13.7928583731895,0.0048276006173403
Afghanistan,2001.0,4.0,5410.038461538462,2001.0,456848.12884615385,4.0,529.6,3010.0,2001.0,12307015.2,-4.0,7.2,6.8,2001.0,7.6,9.4,97.0,4.0,40885.0,40939.0,2.0,3.6,56.44657635,-2.35799044700136,13.7928583731895,0.0241685679088889
Afghanistan,2002.0,4.0,5410.038461538462,2002.0,435439.38972527476,4.0,529.6,3010.0,2002.0,12947231.4,302.39375,4.6875,11.6875,2002.0625,4.625,15.9375,255.1875,86.9375,18892.4375,19604.375,0.0,0.0,57.34184015,-2.35799044700136,13.7928583731895,1.30694987042884
Afghanistan,2003.0,4.0,5410.038461538462,2003.0,448847.4203296703,4.0,529.6,3010.0,2003.0,13706189.8,3688.288888888889,4.888888888888889,15.222222222222221,2003.0,5.0,15.555555555555555,15.222222222222221,0.4444444444444444,55.55555555555556,528.2222222222222,0.0,0.0,58.64355298000001,-2.35799044700136,13.7928583731895,1.27849325196424
Afghanistan,2004.0,4.0,5410.038461538462,2004.0,464561.29181318684,4.0,529.6,3010.0,2004.0,14248057.2,26958.399999999998,5.0,15.333333333333334,2004.0,5.0,18.0,6.0,13.333333333333334,933.3333333333334,1846.6666666666667,0.0,0.0,60.21357973,-2.35799044700136,13.7928583731895,3.577104200584
Afghanistan,2005.0,4.0,5410.038461538462,2005.0,482754.9962637362,4.0,529.6,3010.0,2005.0,14775986.2,31301.853846153845,6.846153846153846,13.23076923076923,2005.0,7.384615384615385,13.76923076923077,43.84615384615385,3.3846153846153846,2915.4615384615386,3440.0,388.46153846153845,623.9230769230769,62.256478529999995,-2.35799044700136,13.7928583731895,4.36867310434287
Afghanistan,2006.0,4.0,5410.038461538462,2006.0,441923.5164835165,4.0,529.6,3010.0,2006.0,15348327.6,6762.430769230769,5.0,15.846153846153847,2006.0,4.6923076923076925,13.0,29.384615384615383,14.23076923076923,171193.46153846153,171839.23076923078,0.0,0.0,64.26483222,-2.35799044700136,13.7928583731895,3.41377297323201
Afghanistan,2007.0,4.0,5410.038461538462,2007.0,425927.78005494503,4.0,529.6,3010.0,2007.0,15687299.0,62768.57142857143,4.857142857142857,18.428571428571427,2007.0,5.142857142857143,15.0,42.285714285714285,2.857142857142857,3822.1428571428573,4322.142857142857,0.0,0.0,66.09810297,-2.35799044700136,20.4806758495246,1.93570171391636
Afghanistan,2008.0,4.0,5410.038461538462,2008.0,474392.7983516483,4.0,529.6,3010.0,2008.0,16051855.0,0.0,7.25,2.75,2008.0,5.0,3.75,333.5,45.5,113150.5,113241.0,0.0,0.0,68.63567228,-2.35799044700136,21.2121323521857,0.45536044478174
Afghanistan,2009.0,4.0,5410.038461538462,2009.0,509099.7335164835,4.0,529.6,3010.0,2009.0,16587306.2,17705.04,4.2,13.2,2009.0,4.6,15.2,20.2,17.2,12504.2,13171.4,4000.0,5848.6,68.39164268,2.23601941932175,20.0367248536922,0.45188914562189
