Country,Year,Area Code (M49),Element Code,Item Code,Year Code,Value
Afghanistan,2000,4.0,529.6,3010.0,2000.0,12070882.2
Afghanistan,2001,4.0,529.6,3010.0,2001.0,12307015.2
Afghanistan,2002,4.0,529.6,3010.0,2002.0,12947231.4
Afghanistan,2003,4.0,529.6,3010.0,2003.0,13706189.8
Afghanistan,2004,4.0,529.6,3010.0,2004.0,14248057.2
Afghanistan,2005,4.0,529.6,3010.0,2005.0,14775986.2
Afghanistan,2006,4.0,529.6,3010.0,2006.0,15348327.6
Afghanistan,2007,4.0,529.6,3010.0,2007.0,15687299.0
Afghanistan,2008,4.0,529.6,3010.0,2008.0,16051855.0
Afghanistan,2009,4.0,529.6,3010.0,2009.0,16587306.2
Afghanistan,2010,4.0,529.6,3010.0,2010.0,17074268.8
Afghanistan,2011,4.0,529.6,3010.0,2011.0,17680802.8
Afghanistan,2012,4.0,529.6,3010.0,2012.0,18363405.2
Afghanistan,2013,4.0,529.6,3010.0,2013.0,18995419.2
Afghanistan,2014,4.0,529.6,3010.0,2014.0,19668613.2
Afghanistan,2015,4.0,529.6,3010.0,2015.0,20280004.4
Afghanistan,2016,4.0,529.6,3010.0,2016.0,20811451.4
Afghanistan,2017,4.0,529.6,3010.0,2017.0,21381590.2
Afghanistan,2018,4.0,529.6,3010.0,2018.0,21971850.8
Afghanistan,2019,4.0,529.6,3010.0,2019.0,22584249.8
Afghanistan,2020,4.0,529.6,3010.0,2020.0,23238579.6
Afghanistan,2021,4.0,529.6,3010.0,2021.0,23782906.2
Afghanistan,2022,4.0,529.6,3010.0,2022.0,24187355.8
Afghanistan,2023,4.0,529.6,3010.0,2023.0,24711745.2
Argentina,2000,32.0,529.6,3010.0,2000.0,22297084.0
Argentina,2001,32.0,529.6,3010.0,2001.0,22544232.0
Argentina,2002,32.0,529.6,3010.0,2002.0,22789613.6
Argentina,2003,32.0,529.6,3010.0,2003.0,23031588.6
Argentina,2004,32.0,529.6,3010.0,2004.0,23272105.4
Argentina,2005,32.0,529.6,3010.0,2005.0,23515813.4
Argentina,2006,32.0,529.6,3010.0,2006.0,23760624.2
Argentina,2007,32.0,529.6,3010.0,2007.0,24000750.0
Argentina,2008,32.0,529.6,3010.0,2008.0,24246137.0
Argentina,2009,32.0,529.6,3010.0,2009.0,24501813.6
Argentina,2010,32.0,529.6,3010.0,2010.0,24760255.4
Argentina,2011,32.0,529.6,3010.0,2011.0,25023639.8
Argentina,2012,32.0,529.6,3010.0,2012.0,25284036.4
Argentina,2013,32.0,529.6,3010.0,2013.0,25540967.0
Argentina,2014,32.0,529.6,3010.0,2014.0,25805931.8
Argentina,2015,32.0,529.6,3010.0,2015.0,26074357.8
Argentina,2016,32.0,529.6,3010.0,2016.0,26329611.4
Argentina,2017,32.0,529.6,3010.0,2017.0,26569765.8
Argentina,2018,32.0,529.6,3010.0,2018.0,26799725.6
Argentina,2019,32.0,529.6,3010.0,2019.0,27009742.4
Argentina,2020,32.0,529.6,3010.0,2020.0,27178865.4
Argentina,2021,32.0,529.6,3010.0,2021.0,27307797.6
Argentina,2022,32.0,529.6,3010.0,2022.0,27425816.2
Argentina,2023,32.0,529.6,3010.0,2023.0,27556764.2
Australia,2000,36.0,529.6,3010.0,2000.0,11466156.0
Australia,2001,36.0,529.6,3010.0,2001.0,11599879.8
Australia,2002,36.0,529.6,3010.0,2002.0,11733180.4
Australia,2003,36.0,529.6,3010.0,2003.0,11867176.0
Australia,2004,36.0,529.6,3010.0,2004.0,12008356.6
Australia,2005,36.0,529.6,3010.0,2005.0,12165576.6
Australia,2006,36.0,529.6,3010.0,2006.0,12350945.0
Australia,2007,36.0,529.6,3010.0,2007.0,12571152.4
Australia,2008,36.0,529.6,3010.0,2008.0,12816734.2
Australia,2009,36.0,529.6,3010.0,2009.0,13061012.4
Australia,2010,36.0,529.6,3010.0,2010.0,13280645.0
Australia,2011,36.0,529.6,3010.0,2011.0,13487869.8
Australia,2012,36.0,529.6,3010.0,2012.0,13705427.4
Australia,2013,36.0,529.6,3010.0,2013.0,13924654.0
Australia,2014,36.0,529.6,3010.0,2014.0,14133173.6
Australia,2015,36.0,529.6,3010.0,2015.0,14339112.0
Australia,2016,36.0,529.6,3010.0,2016.0,14557155.0
Australia,2017,36.0,529.6,3010.0,2017.0,14782527.6
Australia,2018,36.0,529.6,3010.0,2018.0,15002331.6
Australia,2019,36.0,529.6,3010.0,2019.0,15210812.8
Australia,2020,36.0,529.6,3010.0,2020.0,15377151.8
Australia,2021,36.0,529.6,3010.0,2021.0,15522658.0
Australia,2022,36.0,529.6,3010.0,2022.0,15679651.0
Australia,2023,36.0,529.6,3010.0,2023.0,15837787.2
Bangladesh,2000,50.0,529.6,3010.0,2000.0,80133970.4
Bangladesh,2001,50.0,529.6,3010.0,2001.0,81543756.2
Bangladesh,2002,50.0,529.6,3010.0,2002.0,82893596.6
Bangladesh,2003,50.0,529.6,3010.0,2003.0,84191940.6
Bangladesh,2004,50.0,529.6,3010.0,2004.0,85422640.2
Bangladesh,2005,50.0,529.6,3010.0,2005.0,86572534.6
Bangladesh,2006,50.0,529.6,3010.0,2006.0,87635990.2
Bangladesh,2007,50.0,529.6,3010.0,2007.0,88623549.6
Bangladesh,2008,50.0,529.6,3010.0,2008.0,89550868.4
Bangladesh,2009,50.0,529.6,3010.0,2009.0,90440427.4
Bangladesh,2010,50.0,529.6,3010.0,2010.0,91310612.8
Bangladesh,2011,50.0,529.6,3010.0,2011.0,92218813.6
Bangladesh,2012,50.0,529.6,3010.0,2012.0,93173451.0
Bangladesh,2013,50.0,529.6,3010.0,2013.0,94127114.8
Bangladesh,2014,50.0,529.6,3010.0,2014.0,95067027.4
Bangladesh,2015,50.0,529.6,3010.0,2015.0,95993448.8
Bangladesh,2016,50.0,529.6,3010.0,2016.0,96915085.0
Bangladesh,2017,50.0,529.6,3010.0,2017.0,97808409.0
