country,country_code,indicator,indicator_code,year,value
Afghanistan,AFG,Gini index,SI.POV.GINI,2000,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2000,56.555
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2000,53.463
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,55.005
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2000,0.0121217597601851
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2000,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2000,0.07934999999999999
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,0.22078
Afghanistan,AFG,Gini index,SI.POV.GINI,2001,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2001,57.089
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2001,53.941
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,55.511
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2001,0.00762004896898895
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2001,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2001,0.07953
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,0.22169
Afghanistan,AFG,Gini index,SI.POV.GINI,2002,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2002,57.442
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2002,54.986
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,56.225
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2002,0.052520295852783304
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2002,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2002,0.0793
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,0.22261
Afghanistan,AFG,Gini index,SI.POV.GINI,2003,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,2003,58.472
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,2003,55.849
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,57.171
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2003,0.0614519400188515
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2003,
